MEP,KPI,Quarter,Predicted_KPI,Intercept,DL_HC_Used,IDL_HC_Used,Coef_DL_HC,Coef_IDL_HC,FY22 Q1,FY22 Q2,FY22 Q3,FY22 Q4,FY23 Q1,FY23 Q2,FY23 Q3,FY23 Q4,FY24 Q1,FY24 Q2,FY24 Q3,FY24 Q4,FY25 Q1,FY25 Q2,FY25 Q3,FY25 Q4
"MECH Zurich, CHE_1",Direct Labor Cost,FY26 Q1,10958494.682967363,8882699.38705765,419.0,373.0,-125.27445077522263,5705.858688430376,12288709.94,10146344.28,11669667.94,3552234.26,3812098.47,14492734.31,13768496.41,7371199.53,13393595.17,14443058.64,13058689.58,4785682.56,9564935.62,11399266.82,8658922.68,8805493.51
"MECH Zurich, CHE_10",Direct Labor Cost,FY26 Q1,8532579.44911596,8844975.226983646,1318.0,348.0,1333.416722159481,-5947.813269177824,12482162.52,2995693.26,6543564.92,5725684.7,3993214.37,10310710.98,10281185.89,4219861.47,10533478.0,11291399.72,4930279.19,12231129.4,5484787.58,10739068.28,14969845.8,3849116.58
"MECH Zurich, CHE_2",Direct Labor Cost,FY26 Q1,10498633.50517087,3323270.5758442143,1303.0,408.0,5710.974760918086,-652.0519219353198,14770979.81,3238348.82,10979294.58,10234670.47,4940449.48,14379267.55,7447731.83,5286941.68,2026547.74,6601029.45,5983518.58,7355603.71,9850961.53,6589180.84,8009475.34,11668008.09
"MECH Zurich, CHE_3",Direct Labor Cost,FY26 Q1,7138097.641468492,5978172.9594907705,323.0,92.0,427.0960662687745,11108.398397531602,8366222.2,11325726.46,3804386.49,9850361.27,4509272.49,13504413.26,9097580.5,5208653.46,5907355.73,12852507.86,13844011.73,4272032.78,11299896.84,3804138.85,11928430.98,6403301.58
"MECH Zurich, CHE_4",Direct Labor Cost,FY26 Q1,7891593.513727235,6719374.055776483,705.0,310.0,2646.747073204239,-2237.8620279297984,13146821.24,13981690.06,7835433.11,3288101.53,2339384.41,2384338.25,13731557.21,8243656.52,13311919.95,4934700.39,5615293.89,8746636.16,11992937.7,5038701.9,2708305.69,12467038.71
"MECH Zurich, CHE_5",Direct Labor Cost,FY26 Q1,6532775.4784396915,14695802.480453499,1125.0,74.0,-6595.242739151275,-10045.661087413828,5197762.06,10365051.68,8949747.68,3008191.67,12191148.95,7390969.62,14938367.69,2992338.83,8123811.71,2573822.07,13688306.8,7031432.1,2321115.03,14517272.16,2973502.93,11734712.45
"MECH Zurich, CHE_6",Direct Labor Cost,FY26 Q1,4646336.251398137,10773779.90567618,1244.0,379.0,-2255.6884066144908,-8763.502048679728,3542778.84,5067774.81,2636660.31,5321983.56,2420652.84,4647612.42,6374412.68,9003270.45,10645173.02,13039076.3,7172776.33,7392325.29,9481835.03,11259543.81,14679402.45,3977139.62
"MECH Zurich, CHE_7",Direct Labor Cost,FY26 Q1,7979256.859676424,3844839.9742290154,938.0,229.0,3738.92637401371,2739.3185442032727,14437431.84,10761247.27,2878522.13,3375276.18,7550987.84,11122518.95,6350848.04,7290940.42,4658811.6,7474899.78,4873911.31,8661987.42,5383189.07,10376406.95,13625388.67,3397032.43
"MECH Zurich, CHE_8",Direct Labor Cost,FY26 Q1,13488728.624373533,15284047.92044229,1189.0,104.0,803.2213757308652,-26445.668382814973,10581580.95,2241093.61,5973402.75,2916690.83,5813322.56,5515499.59,11935966.67,2605580.5,13561310.31,11346914.04,13222471.61,13352523.09,5113365.65,4914942.13,5633317.76,9238712.06
"MECH Zurich, CHE_9",Direct Labor Cost,FY26 Q1,10309956.799750648,6833559.188074095,230.0,484.0,2696.0191296065286,5901.473578237709,9042353.4,10536703.51,12946608.19,9278738.07,4056160.7,12010579.2,7600809.43,10425855.26,13234137.03,10599353.19,14411470.78,10354399.13,14418969.51,7688892.71,4448199.14,13231088.95
"MFG Cork, IRL_1",Direct Labor Cost,FY26 Q1,4599914.457826726,7085272.18210881,1276.0,243.0,-3474.996017379408,8019.494625078356,6546986.47,4679906.32,2437964.36,8934131.89,2783744.86,2169101.28,14050339.04,6095452.82,5486349.65,8442850.45,11193681.81,11331726.17,6085584.25,14840462.91,11729626.79,14277085.35
"MFG Cork, IRL_10",Direct Labor Cost,FY26 Q1,9719490.59994081,3351534.6372052636,1284.0,312.0,1689.5049488749441,13457.152590961916,14204348.98,8387106.43,8573081.4,5697433.47,6518453.51,2904340.56,8505751.18,14760783.72,10288618.37,8768529.94,5104194.24,7143690.35,14808159.52,11705552.59,3437128.49,3050148.38
"MFG Cork, IRL_2",Direct Labor Cost,FY26 Q1,8104854.2868644595,5846452.675060661,747.0,138.0,4730.521310649427,-9241.288458342913,2077301.31,9219539.81,2067687.17,8091748.25,13827868.37,8592091.22,14894106.51,9396905.89,2425972.39,3075136.66,13935179.78,3478109.33,12894035.01,14525031.54,6683514.43,13232458.57
"MFG Cork, IRL_3",Direct Labor Cost,FY26 Q1,13108376.75898052,3278666.240183412,1298.0,448.0,2579.7025962196235,14467.090510946507,12419520.31,14672806.05,6969517.28,10011822.3,7956255.3,5484497.91,7772634.78,4390704.54,3772504.55,10229470.84,7579060.57,3763030.75,4707111.13,8152728.93,2717789.59,10912990.75
"MFG Cork, IRL_4",Direct Labor Cost,FY26 Q1,7686109.286985929,12871774.657623047,156.0,420.0,-1098.674129554215,-11938.743348634905,9037120.81,8549015.7,14680525.59,14139919.52,8348812.59,11140378.18,10467142.63,9577066.82,10611593.25,7159024.41,8033261.39,11807557.49,13025904.41,13389100.48,13405970.35,12832054.66
"MFG Cork, IRL_5",Direct Labor Cost,FY26 Q1,8238071.523268951,4927411.522736832,725.0,210.0,3977.7659467882204,2032.2842338602843,7779177.72,7478073.4,7871411.7,11606936.18,7496106.78,10760866.39,11943220.08,13874081.48,2108764.24,5665544.82,10712409.5,7654747.58,10632185.33,6872045.84,5138443.63,5560341.88
"MFG Cork, IRL_6",Direct Labor Cost,FY26 Q1,8077209.700091234,7445447.59714675,740.0,470.0,881.4279162517356,-43.605436344256404,11043686.06,7718772.29,5367450.97,13007829.12,6127605.23,10434407.7,6301622.85,11984557.55,4778510.54,5509226.44,3367920.66,13130150.85,14387205.66,8725385.4,10663163.86,7069049.87
"MFG Cork, IRL_7",Direct Labor Cost,FY26 Q1,10195417.30765688,8474666.641413614,121.0,421.0,1021.9524865587766,3793.5734331820745,14404657.28,10921032.27,11837121.46,11202721.64,9648152.22,5821571.45,7926805.78,13629616.63,13031789.92,10576795.0,5490074.77,7950061.53,6743441.28,6034472.36,7813213.41,10367820.64
"MFG Cork, IRL_8",Direct Labor Cost,FY26 Q1,11068674.7697342,7839075.842430041,930.0,320.0,-2383.3427584324872,17019.086539519914,2278052.27,8359012.1,9693026.1,6378934.29,14363950.84,12562205.96,13923695.3,13674232.66,9134858.81,10237441.2,2955000.08,7671668.68,10438002.79,8805186.17,11366923.18,3684408.14
"MFG Cork, IRL_9",Direct Labor Cost,FY26 Q1,9790110.54795523,8506114.516741589,268.0,407.0,1855.3845945889234,1933.0539554393345,5827163.9,8692680.32,6902021.1,6772127.22,14815103.02,14877470.09,7590320.97,14349188.22,10183973.74,8756087.12,12696583.11,12591048.02,6837675.31,13112989.44,3860285.78,10907672.18
"MFG Manaus, BRA_1",Direct Labor Cost,FY26 Q1,8868503.538783768,11061140.869615115,435.0,321.0,-5970.304957102375,1259.9542850722326,2537032.17,2970226.7,13169441.23,8187380.46,4660519.24,9197995.28,2490554.73,13641154.27,12997726.89,3676672.33,13225661.77,10128379.83,12906716.44,14247196.03,7679969.54,4139164.92
"MFG Manaus, BRA_10",Direct Labor Cost,FY26 Q1,8474142.526748393,10482274.627769038,788.0,123.0,-2406.5152528012068,-908.9274944170301,10684591.52,12300558.35,5752337.17,12505909.12,2606564.78,8830400.88,8685212.33,2951904.54,6006371.61,9995153.43,2328341.73,14071794.45,3275483.33,4346406.47,8628192.92,5964333.13
"MFG Manaus, BRA_2",Direct Labor Cost,FY26 Q1,7061262.580890904,11869149.173443675,558.0,486.0,-3136.0356015528814,-6292.137298119883,14823202.82,9563105.24,7662777.67,14926848.47,6693220.13,3320127.51,5054395.4,4017215.69,9501171.42,5482306.48,7598549.67,7803119.24,2878997.05,6530336.44,7661793.76,10467862.96
"MFG Manaus, BRA_3",Direct Labor Cost,FY26 Q1,8354753.445986067,8532716.046260957,327.0,67.0,-1687.379715150883,5579.262187752971,12670511.72,2935285.54,8565060.86,6514567.5,4853962.16,14517898.99,5520720.23,6414577.82,12289599.2,9037345.74,5894652.41,12876892.09,13644571.56,13265673.06,6754677.81,3171647.29
"MFG Manaus, BRA_4",Direct Labor Cost,FY26 Q1,9975978.830940165,11375853.236784842,1457.0,290.0,-3722.013500303571,13872.756083095263,8414001.11,14838663.01,14390337.65,2142151.55,11435509.14,7259085.56,11887177.57,9029638.62,13446428.56,10906924.29,9385656.93,13530442.26,9036173.3,6199826.35,7707698.98,11279772.37
"MFG Manaus, BRA_5",Direct Labor Cost,FY26 Q1,8204625.94107561,4528210.552692009,303.0,343.0,751.651999874911,10054.416421053944,6110748.13,2038573.59,12201095.19,2352669.62,6525290.38,6161033.55,7619875.13,9292626.3,12578339.73,9474755.95,14973107.14,8024294.73,3171249.63,5011427.4,13716872.58,10564808.43
"MFG Manaus, BRA_6",Direct Labor Cost,FY26 Q1,7574096.418953147,5864497.2779849395,813.0,189.0,2482.909168156887,-1634.952448377468,8374130.25,5096158.3,3449053.25,7571265.42,13879669.61,6276773.29,6843670.31,11902217.34,9769063.53,3371001.15,8681771.49,4079279.6,6698633.29,3617225.47,4814180.77,9492130.94
"MFG Manaus, BRA_7",Direct Labor Cost,FY26 Q1,7812154.024631589,9123517.931134075,909.0,224.0,-4089.4233781278253,10740.722965248693,11195070.04,5952193.06,13092919.75,10165370.35,3592806.37,4144464.12,4575840.1,12675934.52,4498957.32,9870249.07,5768995.58,12357741.18,10841610.81,7772763.72,2958814.65,3848284.32
"MFG Manaus, BRA_8",Direct Labor Cost,FY26 Q1,8855537.89138339,13295884.878173258,417.0,415.0,-3549.9096521374568,-7132.613643008547,14455961.17,6974075.13,8556343.57,11873624.23,6184833.66,13881299.38,2032766.6,9938577.37,8054549.28,4264176.8,8961666.05,6472044.19,11079972.09,14987502.69,7763106.48,6246287.56
"MFG Manaus, BRA_9",Direct Labor Cost,FY26 Q1,9128259.57419317,11644804.55393446,951.0,271.0,-3238.2080790261252,2077.45720816441,8707817.93,11164491.08,13660009.65,13657492.52,2596102.0,3436838.04,13438914.08,14674754.95,5608856.2,14984652.4,13095065.51,4478773.72,13121018.2,9993499.88,6399242.6,2802100.48
"MFG Northfield, USA_1",Direct Labor Cost,FY26 Q1,13409048.830207348,6801770.86745739,1357.0,382.0,655.0887834031587,14969.430585528457,7965660.29,9580148.14,14530044.91,10026583.05,12351169.07,12508590.48,13630192.86,3301560.92,14313140.4,4769806.86,9400042.69,14680859.55,10038308.84,7729880.97,12536043.44,12486514.82
"MFG Northfield, USA_10",Direct Labor Cost,FY26 Q1,8953028.021868918,6206987.162281243,437.0,323.0,1356.4060264878638,6666.536922639254,5943951.02,6894686.27,12533507.53,12137782.01,14437190.67,6841968.45,7054085.93,7044604.4,14371495.29,7770129.37,9006394.0,8130444.63,14853532.39,14818375.16,14776449.57,10572556.36
"MFG Northfield, USA_2",Direct Labor Cost,FY26 Q1,11261578.80558768,12292987.283941625,198.0,127.0,-2217.4110800724206,-4664.260507870909,8022805.83,13901955.62,4019709.78,5953095.57,10880490.45,13253539.78,14364010.41,2121398.12,2628989.55,11453256.29,8570613.68,13322131.99,11808786.1,9907853.38,4125484.59,5041707.24
"MFG Northfield, USA_3",Direct Labor Cost,FY26 Q1,10153056.617619798,12165316.55331339,809.0,127.0,-1895.987272150865,-3766.978208846785,8932891.93,6725694.23,12869286.98,8661487.89,14802779.76,3922664.63,3988165.04,14775481.91,6654237.73,13550372.09,13315557.65,5326132.38,10955408.34,10114706.68,7839754.51,5382392.3
"MFG Northfield, USA_4",Direct Labor Cost,FY26 Q1,11090527.486595392,5520528.747394399,1326.0,485.0,-344.79079824247907,12427.19863437221,12678807.29,4365637.18,5391913.92,10559315.17,5467672.44,11160348.02,11775017.82,9698345.3,7654884.55,13044247.06,5852633.6,4781460.09,8195164.31,14990825.18,8615008.84,5521928.27
"MFG Northfield, USA_5",Direct Labor Cost,FY26 Q1,5755269.9294973165,13711747.479855223,1217.0,485.0,-5816.609738507577,-1809.615461018936,6543749.14,3559203.05,9769614.63,12491674.92,13031896.72,5568158.57,11602818.85,6506164.52,3072551.32,2191905.39,8211264.3,12010259.48,2659393.23,11548201.0,14464799.83,11733064.66
"MFG Northfield, USA_6",Direct Labor Cost,FY26 Q1,8206744.638441031,7768897.990662392,561.0,24.0,680.345632075376,2340.5311743480265,7938891.47,10408333.7,7785212.18,7956497.27,12854055.39,12019227.75,13716064.97,6524061.26,7613055.42,7861943.34,7699609.47,5324207.47,6410548.52,8766055.55,11402398.83,2546696.89
"MFG Northfield, USA_7",Direct Labor Cost,FY26 Q1,9294979.895541646,6494102.647499905,398.0,260.0,4115.781731777282,4472.292764593774,14226716.97,11482138.51,7195098.79,4488489.41,13081768.43,13792316.33,14323243.65,9151433.81,12562413.32,5373860.24,10046164.8,14727947.29,9845055.67,10255188.05,5106915.67,6810318.18
"MFG Northfield, USA_8",Direct Labor Cost,FY26 Q1,10949398.307106521,6506552.533930395,1461.0,120.0,3145.5587542298936,-1273.463056281226,4782484.17,9822849.64,2674186.21,6981004.27,5187289.31,12275122.16,13099854.39,13732415.5,4733446.32,2477860.43,12852448.04,14212208.76,2766462.79,6132960.97,12723834.43,5231269.61
"MFG Northfield, USA_9",Direct Labor Cost,FY26 Q1,3494619.5486499397,5359866.728607705,694.0,382.0,3784.6737041435704,-11758.666834118856,4788787.06,2509325.84,2076211.43,11191935.67,2836197.47,5209074.8,2330994.62,2772987.54,14987302.88,6979570.17,7860305.75,6562273.02,4199108.19,6491302.36,8392124.19,11372296.61
"MFG Penang, MYS_1",Direct Labor Cost,FY26 Q1,8945684.698772572,10478374.343560891,648.0,241.0,-260.92887269298456,-5658.123382918114,5842580.59,14902831.55,10722573.61,11730199.98,7220247.01,4906181.8,10670797.16,4988499.68,5231576.98,8835847.9,9939043.44,13940623.87,13298043.13,8698819.53,11763737.61,6664810.16
"MFG Penang, MYS_10",Direct Labor Cost,FY26 Q1,7182153.3630099725,10299582.126505308,1126.0,301.0,-587.1259097531943,-8160.548136588833,12438302.56,12310367.92,13707232.52,4526453.63,7605035.04,10156227.45,10003289.21,2618135.71,2874446.11,3772175.71,10469169.31,3491818.13,6517277.47,10357244.95,8140643.59,9922702.2
"MFG Penang, MYS_2",Direct Labor Cost,FY26 Q1,7184406.743247616,8425682.195449984,366.0,410.0,-2457.6272464640138,-833.619219503752,4612123.35,2421379.43,8290531.98,10990393.06,4946220.1,4851110.68,7817231.36,5727090.71,2347012.42,9466613.06,6140071.96,8255494.38,13958736.56,10339558.38,12463337.02,8621532.1
"MFG Penang, MYS_3",Direct Labor Cost,FY26 Q1,8047720.967934255,7338638.468323575,1387.0,254.0,1912.4186110789778,-7651.346905338042,8696020.27,5723472.06,12236488.33,3329049.64,12545696.94,7977091.26,6356612.07,10243688.31,2037339.35,7751965.91,2012934.41,7700830.65,6204325.29,3624144.21,6624120.54,12711467.26
"MFG Penang, MYS_4",Direct Labor Cost,FY26 Q1,11042445.073225427,14330786.625014583,1148.0,138.0,-1978.8389013416386,-7366.916616296763,12134194.23,10916218.85,7494746.26,13796197.88,14704605.16,9073478.41,11337417.81,9422374.44,10580296.8,9195971.14,13874668.3,11287914.56,14636783.55,7848712.94,4569416.93,13077057.42
"MFG Penang, MYS_5",Direct Labor Cost,FY26 Q1,6625334.609194248,5777082.951780271,1178.0,233.0,-711.7954215310774,7239.256068573331,7436486.25,6704276.55,7742583.26,12583282.01,11619251.22,8218056.49,9077369.83,3679702.98,3852184.05,5687957.76,3277836.77,5183692.47,6504596.82,13875793.36,5001509.31,2497599.88
"MFG Penang, MYS_6",Direct Labor Cost,FY26 Q1,6722627.278717486,5572289.977498558,111.0,70.0,-2778.0041688941315,20838.510913802525,13857952.42,8828958.23,5256961.6,3911792.51,4800878.66,3780755.71,13958072.16,12370814.16,3503098.66,9884479.03,11033965.0,13761386.94,5966036.75,3616244.18,5398169.74,12317837.37
"MFG Penang, MYS_7",Direct Labor Cost,FY26 Q1,2864544.7458906434,7583396.339267302,282.0,439.0,5014.462854317729,-13970.228059895806,12516631.66,10342598.72,11711805.13,10751835.94,2937036.68,7843587.75,4970007.52,10648715.94,5127656.64,8573931.98,2174418.45,14740407.39,8785657.52,6879949.35,14409299.27,14010873.26
"MFG Penang, MYS_8",Direct Labor Cost,FY26 Q1,9435964.155110585,7612623.93252949,228.0,304.0,-3261.260184833664,8443.77481816832,6385158.56,4568005.93,4258682.96,9446277.87,10387499.5,4665890.21,6706310.65,3923356.41,3257651.95,10123754.5,11634128.8,14217932.35,5837263.19,14421924.08,4110433.18,11028240.76
"MFG Penang, MYS_9",Direct Labor Cost,FY26 Q1,8175650.530509189,4788391.688859116,153.0,462.0,3496.3917725711945,6173.8331178499575,13864012.99,7031084.59,11640974.57,10350225.88,5620499.57,10473279.15,4824556.71,7906740.67,9425575.75,10834860.0,5391410.56,7564986.01,9939735.28,10897292.98,5951901.97,6737352.33
"MFG Shenzhen, CHN_1",Direct Labor Cost,FY26 Q1,8978260.313841237,9865780.652591357,1353.0,200.0,-231.61921147553,-2870.69772811864,6061263.16,4933599.59,2707931.24,6083524.34,11083364.62,12792670.03,13109376.84,6942935.46,6609376.35,11111418.1,13300733.76,12889978.32,6227619.11,4177749.62,8144594.14,13615351.1
"MFG Shenzhen, CHN_10",Direct Labor Cost,FY26 Q1,10583436.850637993,3540424.555958839,1056.0,490.0,508.42405529444756,13277.78875977187,12518203.65,2386532.72,3961644.89,12214799.91,3116050.87,12204661.54,8832747.4,10333522.92,7426999.38,8186749.87,8245454.73,5784257.45,12264165.17,5769118.69,12728405.52,10272985.58
"MFG Shenzhen, CHN_2",Direct Labor Cost,FY26 Q1,5397893.21852744,10108079.684237488,939.0,75.0,-5737.95465334168,9036.706050370516,6379717.72,14994810.27,3348753.25,14637206.64,10852436.01,3363315.16,6240285.12,5854872.42,4481886.52,9694426.35,14024362.45,9243586.41,11634648.5,7117671.58,2081893.57,14815145.68
"MFG Shenzhen, CHN_3",Direct Labor Cost,FY26 Q1,9558333.258508721,8330957.43332434,300.0,282.0,-933.5824862031177,5345.569400869917,4427830.69,3717893.45,4826090.53,14108961.57,6881484.17,5969993.58,14254746.55,10313271.16,7983104.97,14010986.5,6848360.54,12081917.95,8016046.19,14013511.21,11010784.99,2260029.88
"MFG Shenzhen, CHN_4",Direct Labor Cost,FY26 Q1,7598006.756564112,5200709.203948917,391.0,233.0,43.56031653172227,10215.73162597121,7968606.03,6137769.01,11149124.71,11254836.9,6634153.81,7438278.08,12231465.68,14201788.94,3143416.89,8503250.75,3443502.72,6354990.92,6182933.59,6977328.37,6323266.94,10617785.32
"MFG Shenzhen, CHN_5",Direct Labor Cost,FY26 Q1,9285689.900675902,10522495.584171612,762.0,46.0,-1662.2155041980639,647.881102243804,8608872.11,12843468.63,2709065.32,14864320.81,3801374.66,10924973.36,8645432.55,14726515.75,14028838.74,7827338.51,4936478.64,9783619.32,13736501.54,6309080.46,10060243.5,11295389.46
"MFG Shenzhen, CHN_6",Direct Labor Cost,FY26 Q1,4907586.004560502,1746091.581284481,404.0,210.0,8111.6898695961345,-550.6108763848405,12213100.61,5011564.75,8924792.19,11169385.89,5712409.72,10260777.88,8314069.07,13294350.55,9403522.11,3311861.79,2231815.38,14757130.45,12840000.73,13389402.29,8013275.49,4189979.75
"MFG Shenzhen, CHN_7",Direct Labor Cost,FY26 Q1,9935521.116973255,8617161.527693387,637.0,364.0,-590.1541655753479,4654.636793272978,6025458.84,9982446.64,8009778.72,12794925.75,2304708.21,11084709.23,12289486.63,8522376.36,11829903.04,13412199.55,11761290.03,2058098.97,10757030.24,7960369.84,7776783.65,5015342.7
"MFG Shenzhen, CHN_8",Direct Labor Cost,FY26 Q1,8887285.956646636,10032318.47659585,368.0,26.0,-2562.762060902322,-7766.772366813875,3013216.22,4703891.67,2266503.78,3143163.18,4338408.12,2976005.19,9398573.24,9995542.76,9785593.22,3390451.87,10514882.08,8289043.9,12230896.0,2285913.3,9103235.19,9785467.61
